name,urlslug,ID,ALIGN,EYE,HAIR,SEX,GSM,ALIVE,APPEARANCES,FIRST APPEARANCE,Year
Absynthe (Earth-616),\/Absynthe_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Black Hair,Female Characters,,Living Characters,6,7-Mar,2007
Ernst Erskine (Earth-616),\/Ernst_Erskine_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,White Hair,Male Characters,,Living Characters,6,7-Jul,2007
Hate-Monger (National Force) (Earth-616),\/Hate-Monger_(National_Force)_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Deceased Characters,6,7-Jun,2007
Jamal Peoples (Earth-616),\/Jamal_Peoples_(Earth-616),Secret Identity,Bad Characters,Hazel Eyes,Brown Hair,Male Characters,,Living Characters,6,7-Feb,2007
Kamar (Earth-616),\/Kamar_(Earth-616),No Dual Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,6,7-Aug,2007
Nicole (Robot) (Earth-616),\/Nicole_(Robot)_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Female Characters,,Deceased Characters,6,7-Apr,2007
Oberon (Earth-616),\/Oberon_(Earth-616),,Neutral Characters,Gold Eyes,Black Hair,Male Characters,,Living Characters,6,7-Jan,2007
Red Ronin (UJ1-DX) (Earth-616),\/Red_Ronin_(UJ1-DX)_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Red Hair,Female Characters,,Living Characters,6,7-Oct,2007
Steven Rogers (Onslaught Reborn) (Earth-616),\/Steven_Rogers_(Onslaught_Reborn)_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,6,7-Feb,2007
Tatiana Arocha (Earth-616),\/Tatiana_Arocha_(Earth-616),Public Identity,Good Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,6,7-Jun,2007
Trenton Craft (Earth-616),\/Trenton_Craft_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Blond Hair,Male Characters,,Living Characters,6,7-Nov,2007
Tristan (Street Arabs) (Earth-616),\/Tristan_(Street_Arabs)_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Bald,Male Characters,,Living Characters,6,7-Jun,2007
Bendigeidfran (Earth-616),\/Bendigeidfran_(Earth-616),Public Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,6,8-Feb,2008
Clinton Barton (Skrull) (Earth-616),\/Clinton_Barton_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Deceased Characters,6,8-Jun,2008
Doctor Tramma (Earth-616),\/Doctor_Tramma_(Earth-616),,Bad Characters,Blue Eyes,Black Hair,Female Characters,,Living Characters,6,8-Sep,2008
Edward Black Wolf (Earth-616),\/Edward_Black_Wolf_(Earth-616),Secret Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,6,8-Oct,2008
Emma Frost (Skrull) (Earth-616),\/Emma_Frost_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Blond Hair,Female Characters,,Deceased Characters,6,8-Jun,2008
Ethan Warren (Earth-616),\/Ethan_Warren_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Deceased Characters,6,8-May,2008
Fiona Fitzhugh (Earth-616),\/Fiona_Fitzhugh_(Earth-616),Public Identity,Good Characters,,Orange Hair,Female Characters,,Living Characters,6,8-Nov,2008
Jean Grey (Skrull) (Earth-616),\/Jean_Grey_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Red Hair,Female Characters,,Deceased Characters,6,8-Jun,2008
Lena Sendak (Earth-616),\/Lena_Sendak_(Earth-616),,,,,Female Characters,,Living Characters,6,8-Oct,2008
Lillie McGurty (Earth-616),\/Lillie_McGurty_(Earth-616),Secret Identity,Good Characters,Green Eyes,Grey Hair,Female Characters,,Living Characters,6,8-Aug,2008
Lisa Parfrey (Earth-616),\/Lisa_Parfrey_(Earth-616),Public Identity,,,Blond Hair,Female Characters,,Deceased Characters,6,8-Apr,2008
Luke Cage (Skrull) (Earth-616),\/Luke_Cage_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Deceased Characters,6,8-Jun,2008
Michael van Patrick (KIA) (Earth-616),\/Michael_van_Patrick_(KIA)_(Earth-616),Secret Identity,Bad Characters,White Eyes,Brown Hair,Male Characters,,Living Characters,6,8-Feb,2008
Mister Eleven (Earth-616),\/Mister_Eleven_(Earth-616),Secret Identity,Neutral Characters,Variable Eyes,Variable Hair,Male Characters,,Living Characters,6,8-Jan,2008
Nathan Jefferson (Earth-616),\/Nathan_Jefferson_(Earth-616),,,,,Male Characters,,Living Characters,6,8-Jan,2008
Peter Parker (Skrull) (Earth-616),\/Peter_Parker_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,6,8-Jun,2008
Retcon (Leila) (Earth-616),\/Retcon_(Leila)_(Earth-616),Secret Identity,Good Characters,,White Hair,Female Characters,,Living Characters,6,8-May,2008
Robert Carr (Earth-616),\/Robert_Carr_(Earth-616),Public Identity,,Blue Eyes,Black Hair,Male Characters,,Living Characters,6,8-Jul,2008
Shoba Mirza (Earth-616),\/Shoba_Mirza_(Earth-616),Secret Identity,,Brown Eyes,Black Hair,Female Characters,,Living Characters,6,8-Dec,2008
Simon Williams (Skrull) (Earth-616),\/Simon_Williams_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,6,8-Jun,2008
Thor Odinson (Skrull) (Earth-616),\/Thor_Odinson_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Blond Hair,Male Characters,,Deceased Characters,6,8-Jun,2008
Vision (Skrull) (Earth-616),\/Vision_(Skrull)_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Deceased Characters,6,8-Jun,2008
Yuen Yee (Earth-616),\/Yuen_Yee_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,6,8-Dec,2008
Alexa Reilly (Earth-616),\/Alexa_Reilly_(Earth-616),No Dual Identity,Good Characters,,Red Hair,Female Characters,,Living Characters,6,9-Sep,2009
Ban-Luck (Earth-616),\/Ban-Luck_(Earth-616),Secret Identity,Good Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,6,9-Jul,2009
Charlie Chainsaw (Earth-616),\/Charlie_Chainsaw_(Earth-616),,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,6,9-Dec,2009
Death Reaper (Earth-616),\/Death_Reaper_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,6,9-Aug,2009
Marci Sabol (Earth-616),\/Marci_Sabol_(Earth-616),Secret Identity,Neutral Characters,Brown Eyes,Blond Hair,Female Characters,,Deceased Characters,6,9-Jul,2009
Master Po (Earth-616),\/Master_Po_(Earth-616),Public Identity,Good Characters,Grey Eyes,White Hair,Male Characters,,Living Characters,6,9-Jan,2009
Ohyaku (Earth-616),\/Ohyaku_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,6,9-Nov,2009
Zhang Chin (Earth-616),\/Zhang_Chin_(Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,6,9-Jan,2009
Zzxz (Earth-616),\/Zzxz_(Earth-616),No Dual Identity,Bad Characters,White Eyes,No Hair,Agender Characters,,Living Characters,6,9-Mar,2009
Anti-Priest (Earth-616),\/Anti-Priest_(Earth-616),Public Identity,Bad Characters,Black Eyes,Bald,Male Characters,,Living Characters,6,10-Jun,2010
Broken Blade (Earth-616),\/Broken_Blade_(Earth-616),Secret Identity,Neutral Characters,Red Eyes,Black Hair,Female Characters,,Living Characters,6,10-Sep,2010
Cecilia (S.W.O.R.D.) (Earth-616),\/Cecilia_(S.W.O.R.D.)_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,6,10-Feb,2010
Dennis Sykes (Earth-616),\/Dennis_Sykes_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Deceased Characters,6,10-Nov,2010
Jaime Slade (Earth-616),\/Jaime_Slade_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Female Characters,,Living Characters,6,10-Aug,2010
Loca (Inferno Baby) (Earth-616),\/Loca_(Inferno_Baby)_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,6,10-Oct,2010
Plutonia II (Earth-616),\/Plutonia_II_(Earth-616),Secret Identity,Good Characters,,No Hair,Female Characters,,Living Characters,6,10-May,2010
Prax Ord (Earth-616),\/Prax_Ord_(Earth-616),Secret Identity,Good Characters,,No Hair,Male Characters,,Living Characters,6,10-Jun,2010
Teela Coldassian (Earth-616),\/Teela_Coldassian_(Earth-616),Public Identity,Good Characters,Red Eyes,White Hair,Female Characters,,Living Characters,6,10-Dec,2010
Uthana Thoth (Earth-616),\/Uthana_Thoth_(Earth-616),Public Identity,Bad Characters,Yellow Eyes,White Hair,Male Characters,,Living Characters,6,10-Nov,2010
Warhead (Earth-616),\/Warhead_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Green Hair,Male Characters,,Deceased Characters,6,10-Aug,2010
William Grant Nelson (Earth-616),\/William_Grant_Nelson_(Earth-616),Secret Identity,Neutral Characters,Green Eyes,Orange Hair,Male Characters,,Living Characters,6,10-Jun,2010
Brady Briedel (Earth-616),\/Brady_Briedel_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,6,11-Sep,2011
Carolina Washington (Earth-616),\/Carolina_Washington_(Earth-616),Public Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,6,11-Dec,2011
Evolutionary (Earth-616),\/Evolutionary_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,6,11-Jul,2011
Helene Panayiotou (Earth-616),\/Helene_Panayiotou_(Earth-616),Public Identity,Neutral Characters,,Black Hair,Female Characters,,Living Characters,6,11-Jun,2011
Michelangelo Simoni (Earth-616),\/Michelangelo_Simoni_(Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,6,11-Apr,2011
Mike Zelinsky (Earth-616),\/Mike_Zelinsky_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,6,11-Apr,2011
Nicolae Dinu (Earth-616),\/Nicolae_Dinu_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,6,11-Feb,2011
Orksa (Earth-616),\/Orksa_(Earth-616),No Dual Identity,Neutral Characters,White Eyes,No Hair,Female Characters,,Living Characters,6,11-Apr,2011
Rhea (Warhawk) (Earth-616),\/Rhea_(Warhawk)_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,6,11-Jun,2011
Robert Jema (Earth-616),\/Robert_Jema_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,6,11-May,2011
Sun Wukong (Earth-616),\/Sun_Wukong_(Earth-616),Secret Identity,Good Characters,Black Eyes,Bald,Male Characters,,Living Characters,6,11-Jul,2011
Ultimate Nullifier (Teen Brigade) (Earth-616),\/Ultimate_Nullifier_(Teen_Brigade)_(Earth-616),Public Identity,Good Characters,Blue Eyes,White Hair,Male Characters,,Living Characters,6,11-Sep,2011
Uravo (Earth-616),\/Uravo_(Earth-616),Secret Identity,Neutral Characters,Yellow Eyes,No Hair,Female Characters,,Living Characters,6,11-Feb,2011
Vladimir Dinu (Earth-616),\/Vladimir_Dinu_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,6,11-Feb,2011
Borya Cich (Earth-616),\/Borya_Cich_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Bald,Male Characters,,Deceased Characters,6,12-Oct,2012
Gabriel Shepherd (Earth-616),\/Gabriel_Shepherd_(Earth-616),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,6,12-Nov,2012
Ivan Banionis (Earth-616),\/Ivan_Banionis_(Earth-616),Public Identity,Bad Characters,,Bald,Male Characters,,Living Characters,6,12-Oct,2012
Lasher (War dog) (Earth-616),\/Lasher_(War_dog)_(Earth-616),Public Identity,Good Characters,,Green Hair,Female Characters,,Living Characters,6,12-Mar,2012
Mzee (Earth-616),\/Mzee_(Earth-616),Secret Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,6,12-Dec,2012
Omega Red (Omega Clan) (Earth-616),\/Omega_Red_(Omega_Clan)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,6,12-Jul,2012
Omega White (Earth-616),\/Omega_White_(Earth-616),Secret Identity,Bad Characters,White Eyes,No Hair,Male Characters,,Living Characters,6,12-Jul,2012
Prester Omega (Earth-616),\/Prester_Omega_(Earth-616),Secret Identity,Neutral Characters,Blue Eyes,,Male Characters,,Living Characters,6,12-Mar,2012
Remlik (Earth-616),\/Remlik_(Earth-616),No Dual Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,6,12-Oct,2012
Saber (Earth-616),\/Saber_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,6,12-Apr,2012
Tsar Sultan (Earth-616),\/Tsar_Sultan_(Earth-616),Secret Identity,Bad Characters,Black Eyes,Brown Hair,Male Characters,,Living Characters,6,12-Dec,2012
Kazimierz Kazimierczak (Earth-616),\/Kazimierz_Kazimierczak_(Earth-616),Public Identity,Bad Characters,Blue Eyes,Blond Hair,Male Characters,,Living Characters,6,13-Apr,2013
Anna Kefkin (Earth-616),\/Anna_Kefkin_(Earth-616),No Dual Identity,Good Characters,Black Eyes,Brown Hair,Female Characters,,Living Characters,6,,
Jeffrey Haight (Earth-616),\/Jeffrey_Haight_(Earth-616),Public Identity,Neutral Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,6,,
Kobe (Earth-616),\/Kobe_(Earth-616),Public Identity,,,Black Hair,Male Characters,,Living Characters,6,,
Milo (Earth-616),\/Milo_(Earth-616),Public Identity,,Black Eyes,Black Hair,Male Characters,,Deceased Characters,6,,
Scarlett McKenzie (Earth-616),\/Scarlett_McKenzie_(Earth-616),,,,Red Hair,Female Characters,,Living Characters,6,,
Shredder (Earth-616),\/Shredder_(Earth-616),Secret Identity,Bad Characters,Red Eyes,Bald,Male Characters,,Deceased Characters,6,,
Termagaira (Earth-616),\/Termagaira_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,6,,
Valeria (Hyborian Era) (Earth-616),\/Valeria_(Hyborian_Era)_(Earth-616),Public Identity,,,Blond Hair,Female Characters,,Living Characters,6,,
Ana Cortes (Earth-616),\/Ana_Cortes_(Earth-616),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Deceased Characters,6,,
Angie Huang (Earth-616),\/Angie_Huang_(Earth-616),Public Identity,Good Characters,Brown Eyes,Brown Hair,Female Characters,,Living Characters,6,,
Dario Agger (Earth-616),\/Dario_Agger_(Earth-616),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Male Characters,,Living Characters,6,,
Dawn Greenwood (Earth-616),\/Dawn_Greenwood_(Earth-616),No Dual Identity,Good Characters,Green Eyes,,Female Characters,,Living Characters,6,,
Georgia Dakei (Earth-616),\/Georgia_Dakei_(Earth-616),No Dual Identity,Neutral Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,6,,
Horace Littleton (Earth-616),\/Horace_Littleton_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,6,,
Pedro Olivera (Earth-616),\/Pedro_Olivera_(Earth-616),No Dual Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,6,,
Robbie Reyes (Earth-616),\/Robbie_Reyes_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,6,,
Tanalth (Earth-616),\/Tanalth_(Earth-616),Public Identity,Neutral Characters,Green Eyes,Red Hair,Female Characters,,Living Characters,6,,
Tic (Earth-616),\/Tic_(Earth-616),No Dual Identity,Neutral Characters,Black Eyes,Black Hair,Female Characters,,Living Characters,6,,
Anthony Sardo (Earth-616),\/Anthony_Sardo_(Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,Oct-39,1939
Benito Mussolini (Earth-616),\/Benito_Mussolini_(Earth-616),No Dual Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,Sep-40,1940
Jim Taylor (Earth-616),\/Jim_Taylor_(Earth-616),,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,5,Apr-40,1940
Robert Foster (Earth-616),\/Robert_Foster_(Earth-616),Public Identity,Good Characters,Blue Eyes,Red Hair,Male Characters,,Living Characters,5,Jan-40,1940
Satan (Black Widow Creator) (Earth-616),\/Satan_(Black_Widow_Creator)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,Aug-40,1940
Trojak (Earth-616),\/Trojak_(Earth-616),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Male Characters,,Living Characters,5,Feb-40,1940
Davey Drew (Earth-616),\/Davey_Drew_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,Dec-41,1941
Moon Man (Earth-616),\/Moon_Man_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Deceased Characters,5,Mar-41,1941
Tanir (Earth-616),\/Tanir_(Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,5,Mar-41,1941
Jerry Dash (Earth-616),\/Jerry_Dash_(Earth-616),Public Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,5,Apr-42,1942
Elise Winters (Earth-616),\/Elise_Winters_(Earth-616),,Bad Characters,,Blond Hair,Female Characters,,Deceased Characters,5,Nov-46,1946
Diablo (Bear) (Earth-616),\/Diablo_(Bear)_(Earth-616),Public Identity,,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,Oct-49,1949
Witness (1949) (Earth-616),\/Witness_(1949)_(Earth-616),Secret Identity,Neutral Characters,,,Male Characters,,Living Characters,5,Jan-49,1949
Lucrezia Borgia (Earth-616),\/Lucrezia_Borgia_(Earth-616),,Bad Characters,,,Female Characters,,Living Characters,5,Jul-50,1950
Otto von Schmittsder (Earth-616),\/Otto_von_Schmittsder_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Bald,Male Characters,,Living Characters,5,Jun-51,1951
Agu (Earth-616),\/Agu_(Earth-616),No Dual Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,5,Jul-53,1953
Chief Wilson (Earth-616),\/Chief_Wilson_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,Dec-53,1953
General Olga (Earth-616),\/General_Olga_(Earth-616),Public Identity,Bad Characters,,Black Hair,Female Characters,,Living Characters,5,Apr-53,1953
Manchuria Mary (Earth-616),\/Manchuria_Mary_(Earth-616),Public Identity,Bad Characters,,Black Hair,Female Characters,,Deceased Characters,5,Feb-53,1953
Medusa (Earth-616),\/Medusa_(Earth-616),Secret Identity,Bad Characters,Green Eyes,Green Hair,Female Characters,,Deceased Characters,5,Jan-53,1953
Andy Crockett (Earth-616),\/Andy_Crockett_(Earth-616),No Dual Identity,Good Characters,,Blond Hair,Male Characters,,Living Characters,5,Apr-54,1954
Leopard Girl (Gwen) (Earth-616),\/Leopard_Girl_(Gwen)_(Earth-616),Secret Identity,Good Characters,,Blond Hair,Female Characters,,Living Characters,5,Oct-54,1954
El Alemain (Earth-616),\/El_Alemain_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,May-55,1955
Justice (Horse) (Earth-616),\/Justice_(Horse)_(Earth-616),Public Identity,Good Characters,,White Hair,,,Living Characters,5,Nov-55,1955
Rosamund (Earth-616),\/Rosamund_(Earth-616),Public Identity,Good Characters,,Black Hair,Female Characters,,Living Characters,5,May-55,1955
Sir Lancelot (Earth-616),\/Sir_Lancelot_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,May-55,1955
Craig Farnsworth (Earth-616),\/Craig_Farnsworth_(Earth-616),Public Identity,Neutral Characters,,Black Hair,Male Characters,,Living Characters,5,Dec-56,1956
Carl Hanson (Earth-616),\/Carl_Hanson_(Earth-616),Secret Identity,Good Characters,,,Male Characters,,Living Characters,5,Nov-60,1960
Gorgolla (Earth-616),\/Gorgolla_(Earth-616),Secret Identity,Bad Characters,,No Hair,Male Characters,,Living Characters,5,Apr-60,1960
Chan Liuchow (Earth-616),\/Chan_Liuchow_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,Oct-61,1961
Diane Cummings (Earth-616),\/Diane_Cummings_(Earth-616),Public Identity,Good Characters,Blue Eyes,Blond Hair,Female Characters,,Living Characters,5,Aug-61,1961
Gargantus (Aquatic Monster) (Earth-616),\/Gargantus_(Aquatic_Monster)_(Earth-616),Public Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,5,Jan-61,1961
X (Monster) (Earth-616),\/X_(Monster)_(Earth-616),Secret Identity,Bad Characters,Variable Eyes,Variable Hair,,,Living Characters,5,Jun-61,1961
Monster from Mars (Earth-616),\/Monster_from_Mars_(Earth-616),Secret Identity,Bad Characters,,,,,Deceased Characters,5,Mar-62,1962
Nina Tsiolkovsky (Earth-616),\/Nina_Tsiolkovsky_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Female Characters,,Living Characters,5,Oct-62,1962
Phineas (Fifth Dimension) (Earth-616),\/Phineas_(Fifth_Dimension)_(Earth-616),,Good Characters,,White Hair,Male Characters,,Living Characters,5,Dec-62,1962
Tim Boo Ba (Earth-616),\/Tim_Boo_Ba_(Earth-616),,Bad Characters,Purple Eyes,Black Hair,Male Characters,,Living Characters,5,Feb-62,1962
Bill Bishop (Earth-616),\/Bill_Bishop_(Earth-616),No Dual Identity,Good Characters,,Brown Hair,Male Characters,,Living Characters,5,Sep-63,1963
Carlo Strange (Earth-616),\/Carlo_Strange_(Earth-616),Public Identity,Bad Characters,Green Eyes,Brown Hair,Male Characters,,Living Characters,5,May-63,1963
Colonel Hendershoot (Earth-616),\/Colonel_Hendershoot_(Earth-616),Public Identity,Good Characters,,Black Hair,Male Characters,,Living Characters,5,Nov-63,1963
Dorian Murdstone (Earth-616),\/Dorian_Murdstone_(Earth-616),Public Identity,Bad Characters,Black Eyes,Black Hair,Male Characters,,Living Characters,5,Jun-63,1963
Pete (NYPD) (Earth-616),\/Pete_(NYPD)_(Earth-616),,,,,Male Characters,,Living Characters,5,Oct-63,1963
Vernon van Dyne (Earth-616),\/Vernon_van_Dyne_(Earth-616),Public Identity,,,Grey Hair,Male Characters,,Deceased Characters,5,Jun-63,1963
Aggamon (Earth-616),\/Aggamon_(Earth-616),Secret Identity,Bad Characters,Green Eyes,No Hair,Male Characters,,Living Characters,5,Apr-64,1964
Antonio Rojo (Earth-616),\/Antonio_Rojo_(Earth-616),,Bad Characters,Brown Eyes,Black Hair,Male Characters,,Living Characters,5,Apr-64,1964
Bull Brogin (Earth-616),\/Bull_Brogin_(Earth-616),,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,Feb-64,1964
Emnu (Earth-616),\/Emnu_(Earth-616),,Neutral Characters,,Bald,Male Characters,,Living Characters,5,May-64,1964
Franklin Storm (Earth-616),\/Franklin_Storm_(Earth-616),No Dual Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Deceased Characters,5,Oct-64,1964
Harold Kane (Earth-616),\/Harold_Kane_(Earth-616),,Bad Characters,Blue Eyes,Brown Hair,Male Characters,,Living Characters,5,Jul-64,1964
Harry Phillips (Earth-616),\/Harry_Phillips_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,5,Feb-64,1964
Ikor (Watcher) (Earth-616),\/Ikor_(Watcher)_(Earth-616),,Neutral Characters,,White Hair,Male Characters,,Living Characters,5,May-64,1964
Redford Raven (Earth-616),\/Redford_Raven_(Earth-616),Secret Identity,Bad Characters,Brown Eyes,Red Hair,Male Characters,,Living Characters,5,Feb-64,1964
Skoll (Earth-616),\/Skoll_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Living Characters,5,Feb-64,1964
Yogi Dakor (Earth-616),\/Yogi_Dakor_(Earth-616),,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,Feb-64,1964
Anthony Baskerville (Earth-616),\/Anthony_Baskerville_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,5,Aug-65,1965
Axonn-Karr (Earth-616),\/Axonn-Karr_(Earth-616),,Good Characters,,,Male Characters,,Living Characters,5,Feb-65,1965
Ularic (Earth-616),\/Ularic_(Earth-616),,Good Characters,,,Male Characters,,Living Characters,5,Aug-65,1965
Behemoth (Atlantean Beast) (Earth-616),\/Behemoth_(Atlantean_Beast)_(Earth-616),,,Black Eyes,Red Hair,,,Living Characters,5,Mar-66,1966
Supreme One (Earth-616),\/Supreme_One_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,May-66,1966
Ula (Earth-616),\/Ula_(Earth-616),,Neutral Characters,,Black Hair,Female Characters,,Living Characters,5,Jan-66,1966
Alibar (Earth-616),\/Alibar_(Earth-616),No Dual Identity,,,,Male Characters,,Living Characters,5,Jun-67,1967
Chet Huntley (Earth-616),\/Chet_Huntley_(Earth-616),Public Identity,Neutral Characters,,Brown Hair,Male Characters,,Living Characters,5,Jul-67,1967
Colonel Ling (Earth-616),\/Colonel_Ling_(Earth-616),Public Identity,Bad Characters,,Black Hair,Male Characters,,Deceased Characters,5,Jun-67,1967
Chester Fenton (Earth-616),\/Chester_Fenton_(Earth-616),Public Identity,Good Characters,,,Male Characters,,Living Characters,5,Jun-68,1968
Dr Thaxton (Earth-616),\/Dr_Thaxton_(Earth-616),,Bad Characters,,,Male Characters,,Deceased Characters,5,Jul-68,1968
Kratos (Earth-616),\/Kratos_(Earth-616),No Dual Identity,Good Characters,,,Male Characters,,Living Characters,5,Mar-68,1968
Marduk (Sons of Satannish) (Earth-616),\/Marduk_(Sons_of_Satannish)_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,Dec-68,1968
Paul Richarde (Earth-616),\/Paul_Richarde_(Earth-616),Secret Identity,Bad Characters,,Black Hair,Male Characters,,Living Characters,5,Nov-68,1968
Robert McCoy (Earth-616),\/Robert_McCoy_(Earth-616),Public Identity,Good Characters,Blue Eyes,Grey Hair,Male Characters,,Living Characters,5,Oct-68,1968
Umbu (Earth-616),\/Umbu_(Earth-616),Secret Identity,Bad Characters,,No Hair,,,Living Characters,5,Dec-68,1968
Edward Forsyth (Earth-616),\/Edward_Forsyth_(Earth-616),Secret Identity,Bad Characters,,,Male Characters,,Deceased Characters,5,Nov-69,1969
Karl Kraus (Earth-616),\/Karl_Kraus_(Earth-616),Public Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,Sep-69,1969
Zorr (Android) (Earth-616),\/Zorr_(Android)_(Earth-616),Secret Identity,,,,Male Characters,,Living Characters,5,Jan-69,1969
Andro (Earth-616),\/Andro_(Earth-616),Public Identity,Bad Characters,Yellow Eyes,No Hair,Male Characters,,Living Characters,5,Aug-70,1970
Lawrence Rambow (Earth-616),\/Lawrence_Rambow_(Earth-616),,Bad Characters,,,Male Characters,,Living Characters,5,Dec-70,1970
Michel Berman (Earth-616),\/Michel_Berman_(Earth-616),Secret Identity,Bad Characters,,Brown Hair,Male Characters,,Living Characters,5,Feb-70,1970
